generation,best_fitness,avg_fitness,std_fitness,diversity,best_string
1,2.0,1.1083333333333334,0.49866769274449174,0.8,BALtGjgViLd
2,3.0,1.3416666666666666,0.6546001837459443,0.9333333333333333,rTLGOfeBuLr
3,3.0,1.6,0.6786045989239038,0.8416666666666667,kuLGOfeBuLr
4,4.0,1.9166666666666667,0.773329952663334,0.9166666666666666,gELGOfeBuLr
5,4.0,2.125,0.7838978239026613,0.95,gELGOfeBuLr
6,5.0,2.3666666666666667,0.859287699283573,0.875,gELGOfeOiLz
7,5.0,2.716666666666667,0.7689710830783199,0.8833333333333333,HOwLpWPOuLD
8,5.0,2.7083333333333335,0.7603165344072146,0.9166666666666666,HALJOfPOuLd
9,5.0,2.8916666666666666,0.8074842489639844,0.9166666666666666,uELLpWPOuLr
10,5.0,3.075,0.8417918064332482,0.9166666666666666,HCLiOwXOQLr
11,5.0,3.2416666666666667,0.8598986977011439,0.925,uELpOfWNlLr
12,6.0,3.5166666666666666,0.9073308656272462,0.925,HALpOfWBRyD
13,6.0,3.7,0.9130243399702722,0.9583333333333334,HELwOfeOuLr
14,7.0,3.975,1.0163578077022437,0.9333333333333333,HELiOfWBRyD
15,7.0,4.3,1.0174940381383366,0.9083333333333333,HELiOfWBRyD
16,7.0,4.683333333333334,0.9165457012113273,0.9166666666666666,HELiOfWBRyD
17,7.0,4.658333333333333,0.9303097282497859,0.925,gELpOfWORLr
18,7.0,4.866666666666666,1.0365856471713124,0.9166666666666666,gELpOfWORLr
19,8.0,5.133333333333334,1.0763565475096748,0.925,HELGp PORLD
20,8.0,5.5,1.1881770515720091,0.8833333333333333,HELGp PORLD
21,8.0,5.85,1.192765306181502,0.8583333333333333,HELwOwfORLD
22,9.0,6.283333333333333,1.1315441471117003,0.8833333333333333,HELJOfWORLD
23,9.0,6.425,1.0424800745732998,0.85,HELiOfWORLD
24,9.0,6.433333333333334,1.1207240556727536,0.9,HALLO WBRLD
25,9.0,6.416666666666667,1.1418938517337989,0.875,HELwOfWORLD
26,9.0,6.716666666666667,1.0546681610686788,0.8916666666666667,HALLO PORLD
27,9.0,6.825,1.0584791690253068,0.8416666666666667,HELLOfWOlLD
28,9.0,6.983333333333333,1.099910869829291,0.8583333333333333,HELLOfWBRLD
29,10.0,7.191666666666666,1.2721703372374231,0.7916666666666666,HELLOfWORLD
30,10.0,7.291666666666667,1.218870074168318,0.7333333333333333,HELLOfWORLD
31,10.0,7.525,1.1149292474819898,0.7666666666666667,HELLOfWORLD
32,10.0,7.508333333333334,1.2366655718886483,0.775,HELLO WORLr
33,10.0,7.708333333333333,1.0721519500152805,0.675,HELLOfWORLD
34,10.0,7.916666666666667,1.0498766100635557,0.6833333333333333,HELLO WORLr
35,11.0,8.033333333333333,1.2087449796256893,0.6583333333333333,HELLO WORLD
