generation,best_fitness,avg_fitness,std_fitness,diversity,best_string
1,3.0,1.25,0.6890500097717048,0.8583333333333333,HzgHjrAFRLK
2,3.0,1.575,0.8266821404533533,0.9083333333333333,vflEZ AOvnD
3,4.0,1.9083333333333334,0.888732771070894,0.9333333333333333,HElCjLAORXZ
4,5.0,2.3666666666666667,1.0284469267942284,0.9083333333333333,HELppLrOLnD
5,5.0,2.8,1.1046121795575543,0.925,HflpO  OvXD
6,6.0,3.158333333333333,1.1951993141565234,0.95,HELhxRWORNZ
7,7.0,3.4916666666666667,1.2833506128561312,0.9083333333333333, ENTO WORLK
8,8.0,3.658333333333333,1.3252292228128684,0.9583333333333334,HELLqjAORLD
9,8.0,3.9916666666666667,1.411214587029293,0.975,HELLqjAORLD
10,8.0,4.491666666666666,1.420118549515452,0.9666666666666667,HELLqjAORLD
11,9.0,4.808333333333334,1.636227641973617,0.9416666666666667,HElLO WORcD
12,8.0,5.516666666666667,1.3657474533904783,0.8333333333333334,HELTO AnRLD
13,9.0,5.808333333333334,1.361510736128745,0.9,HELEOKWORLD
14,9.0,6.058333333333334,1.4336638925713185,0.9666666666666667,vELTO WORLD
15,9.0,5.941666666666666,1.4569210848975478,0.9166666666666666,HELEO rORLD
16,9.0,6.158333333333333,1.2635539669721196,0.8666666666666667,HELCOrWORLD
17,10.0,6.375,1.3161089837634485,0.925,HElLO WORLD
18,10.0,6.566666666666666,1.3330531918587982,0.95,HEBLO WORLD
19,10.0,6.933333333333334,1.2684492837453825,0.925,HELpO WORLD
20,10.0,7.116666666666666,1.1894729666433577,0.9,HELEO WORLD
21,11.0,7.375,1.2968125111501778,0.8833333333333333,HELLO WORLD
